Sub_County,District,Region
Buikwe,Buikwe,Central Region
Buikwe Town Council,Buikwe,Central Region
Central Division,Buikwe,Central Region
KCCA,Buikwe,Central Region
Kawolo Division,Buikwe,Central Region
Lugazi Municipality,Buikwe,Central Region
Najja,Buikwe,Central Region
Najjembe Division,Buikwe,Central Region
Ngogwe,Buikwe,Central Region
Njeru Division,Buikwe,Central Region
Njeru Municipality,Buikwe,Central Region
Nkokonjeru Town Council,Buikwe,Central Region
Nyenga Division,Buikwe,Central Region
Ssi-Bukunja,Buikwe,Central Region
Wakisi Division,Buikwe,Central Region
Bigasa,Bukomansimbi,Central Region
Bukomansimbi,Bukomansimbi,Central Region
Bukomansimbi Town Council,Bukomansimbi,Central Region
Butenga,Bukomansimbi,Central Region
Kibinge,Bukomansimbi,Central Region
Kitanda,Bukomansimbi,Central Region
Budde,Butambala,Central Region
Bulo,Butambala,Central Region
Butambala,Butambala,Central Region
Gombe Town Council,Butambala,Central Region
Kalamba,Butambala,Central Region
Kibibi,Butambala,Central Region
Ngando,Butambala,Central Region
Bugaya,Buvuma,Central Region
Busamuzi,Buvuma,Central Region
Buvuma Island,Buvuma,Central Region
Buvuma Town Council,Buvuma,Central Region
Buwooya,Buvuma,Central Region
Bweema,Buvuma,Central Region
Lubya,Buvuma,Central Region
Lwajje,Buvuma,Central Region
Lyabaana,Buvuma,Central Region
Nairambi,Buvuma,Central Region
Gomba,Gomba,Central Region
Kabulasoke,Gomba,Central Region
Kanoni Town Council,Gomba,Central Region
Kyegonza,Gomba,Central Region
Maddu,Gomba,Central Region
Mpenja,Gomba,Central Region
Bubeke,Kalangala,Central Region
Bufumira,Kalangala,Central Region
Bujumba,Kalangala,Central Region
Kalangala Town Council,Kalangala,Central Region
Kyamuswa,Kalangala,Central Region
Mazinga,Kalangala,Central Region
Mugoye,Kalangala,Central Region
Bukulula,Kalungu,Central Region
Kalungu,Kalungu,Central Region
Kalungu Town Council,Kalungu,Central Region
Kyamulibwa,Kalungu,Central Region
Kyamulibwa Town Council,Kalungu,Central Region
Lukaya Town Council,Kalungu,Central Region
Lwabenge,Kalungu,Central Region
Central Division,Kampala,Central Region
KCCA,Kampala,Central Region
Kawempe Division,Kampala,Central Region
Makindye Division,Kampala,Central Region
Nakawa Division,Kampala,Central Region
Rubaga Division,Kampala,Central Region
Bukuya,Kassanda,Central Region
Kalwana,Kassanda,Central Region
Kassanda,Kassanda,Central Region
Kassanda Town Council,Kassanda,Central Region
Kiganda,Kassanda,Central Region
Kitumbi,Kassanda,Central Region
Makokoto,Kassanda,Central Region
Manyogaseka,Kassanda,Central Region
Myanzi,Kassanda,Central Region
Nalutuntu,Kassanda,Central Region
Bbaale,Kayunga,Central Region
Busaana,Kayunga,Central Region
Galiraya,Kayunga,Central Region
Kangulumira,Kayunga,Central Region
Kayonza,Kayunga,Central Region
Kayunga,Kayunga,Central Region
Kayunga Town Council,Kayunga,Central Region
Kitimbwa,Kayunga,Central Region
Nazigo,Kayunga,Central Region
Ntenjeru,Kayunga,Central Region
Bukomero,Kiboga,Central Region
Bukomero Town Council,Kiboga,Central Region
Ddwaniro,Kiboga,Central Region
Kapeke,Kiboga,Central Region
Kibiga,Kiboga,Central Region
Kiboga,Kiboga,Central Region
Kiboga Town Council,Kiboga,Central Region
Lwamata,Kiboga,Central Region
Lwamata Town Council,Kiboga,Central Region
Muwanga,Kiboga,Central Region
Bananywa,Kyankwanzi,Central Region
Banda,Kyankwanzi,Central Region
Butemba,Kyankwanzi,Central Region
Butemba Town Council,Kyankwanzi,Central Region
Byerima,Kyankwanzi,Central Region
Gayaza,Kyankwanzi,Central Region
Kiboga,Kyankwanzi,Central Region
Kyankwanzi,Kyankwanzi,Central Region
Kyankwanzi Town Council,Kyankwanzi,Central Region
Mulagi,Kyankwanzi,Central Region
Nkandwa,Kyankwanzi,Central Region
Nsambya,Kyankwanzi,Central Region
Ntwetwe,Kyankwanzi,Central Region
Ntwetwe Town Council,Kyankwanzi,Central Region
Wattuba,Kyankwanzi,Central Region
Kabira,Kyotera,Central Region
Kakuuto,Kyotera,Central Region
Kalisizo,Kyotera,Central Region
Kalisizo Town Council,Kyotera,Central Region
Kasaali Town Council,Kyotera,Central Region
Kasasa,Kyotera,Central Region
Kirumba,Kyotera,Central Region
Kyebe,Kyotera,Central Region
Kyotera,Kyotera,Central Region
Kyotera Town Council,Kyotera,Central Region
Lwankoni,Kyotera,Central Region
Nabigasa,Kyotera,Central Region
Nangoma,Kyotera,Central Region
Bamunanika,Luwero,Central Region
Bombo Town Council,Luwero,Central Region
Butuntumula,Luwero,Central Region
Kalagala,Luwero,Central Region
Kamira,Luwero,Central Region
Katikamu,Luwero,Central Region
Kikyusa,Luwero,Central Region
Luwero,Luwero,Central Region
Luwero Town Council,Luwero,Central Region
Makulubita,Luwero,Central Region
Nyimbwa,Luwero,Central Region
Wobulenzi Town Council,Luwero,Central Region
Zirobwe,Luwero,Central Region
Bukoto,Lwengo,Central Region
Kisekka,Lwengo,Central Region
Kkingo,Lwengo,Central Region
Kyazanga,Lwengo,Central Region
Kyazanga Town Council,Lwengo,Central Region
Lwengo,Lwengo,Central Region
Lwengo Town Council,Lwengo,Central Region
Malongo,Lwengo,Central Region
Ndagwe,Lwengo,Central Region
Kabula,Lyantonde,Central Region
Kaliiro,Lyantonde,Central Region
Kasagama,Lyantonde,Central Region
Kinuuka,Lyantonde,Central Region
Lyakajura,Lyantonde,Central Region
Lyantonde,Lyantonde,Central Region
Lyantonde Town Council,Lyantonde,Central Region
Mpumudde,Lyantonde,Central Region
Bukakata,Masaka,Central Region
Bukoto,Masaka,Central Region
Buwunga,Masaka,Central Region
Kabonera,Masaka,Central Region
Katwe-Butego Division,Masaka,Central Region
Kimaanya-Kyabakuza Division,Masaka,Central Region
Kyanamukaaka,Masaka,Central Region
Kyesiiga,Masaka,Central Region
Masaka Municipality,Masaka,Central Region
Mukungwe,Masaka,Central Region
Nyendo-Ssenyange Division,Masaka,Central Region
Bbanda,Mityana,Central Region
Bulera,Mityana,Central Region
Busimbi Division,Mityana,Central Region
Busujju,Mityana,Central Region
Busunju Town Council,Mityana,Central Region
Butayunja,Mityana,Central Region
Central Division,Mityana,Central Region
KCCA,Mityana,Central Region
Kakindu,Mityana,Central Region
Kalangaalo,Mityana,Central Region
Kikandwa,Mityana,Central Region
Maanyi,Mityana,Central Region
Malangala,Mityana,Central Region
Mityana,Mityana,Central Region
Mityana Municipality,Mityana,Central Region
Namungo,Mityana,Central Region
Ssekanyonyi,Mityana,Central Region
Ttamu Division,Mityana,Central Region
Buwama,Mpigi,Central Region
Kammengo,Mpigi,Central Region
Kiringente,Mpigi,Central Region
Kituntu,Mpigi,Central Region
Mawokota,Mpigi,Central Region
Mpigi Town Council,Mpigi,Central Region
Muduuma,Mpigi,Central Region
Nkozi,Mpigi,Central Region
Bagezza,Mubende,Central Region
Butoloogo,Mubende,Central Region
Buwekula,Mubende,Central Region
Eastern Division,Mubende,Central Region
Kasambya,Mubende,Central Region
Kasambya Town Council,Mubende,Central Region
Kibalinga,Mubende,Central Region
Kigando,Mubende,Central Region
Kitenga,Mubende,Central Region
Kiyuni,Mubende,Central Region
Madudu,Mubende,Central Region
Mubende Municipality,Mubende,Central Region
Nabingoola,Mubende,Central Region
Southern Division,Mubende,Central Region
Western Division,Mubende,Central Region
Central Division,Mukono,Central Region
Goma Division,Mukono,Central Region
KCCA,Mukono,Central Region
Kasawo,Mukono,Central Region
Kimenyedde,Mukono,Central Region
Koome Island,Mukono,Central Region
Kyampisi,Mukono,Central Region
Mpatta,Mukono,Central Region
Mpunge,Mukono,Central Region
Mukono,Mukono,Central Region
Mukono Municipality,Mukono,Central Region
Nabbaale,Mukono,Central Region
Nagojje,Mukono,Central Region
Nakifuma,Mukono,Central Region
Nakisunga,Mukono,Central Region
Nama,Mukono,Central Region
Ntenjeru,Mukono,Central Region
Ntunda,Mukono,Central Region
Seeta Namuganga,Mukono,Central Region
Butalangu Town Council,Nakaseke,Central Region
Kapeeka,Nakaseke,Central Region
Kasangombe,Nakaseke,Central Region
Kikamulo,Nakaseke,Central Region
Kinoni,Nakaseke,Central Region
Kinyogoga,Nakaseke,Central Region
Kito,Nakaseke,Central Region
Kiwoko Town Council,Nakaseke,Central Region
Nakaseke,Nakaseke,Central Region
Nakaseke Town Council,Nakaseke,Central Region
Ngoma,Nakaseke,Central Region
Ngoma Town Council,Nakaseke,Central Region
Semuto,Nakaseke,Central Region
Semuto Town Council,Nakaseke,Central Region
Wakyato,Nakaseke,Central Region
Buruli,Nakasongola,Central Region
Kakooge,Nakasongola,Central Region
Kakooge Town Council,Nakasongola,Central Region
Kalongo,Nakasongola,Central Region
Kalungi,Nakasongola,Central Region
Lwabiyata,Nakasongola,Central Region
Lwampanga,Nakasongola,Central Region
Migeera Town Council,Nakasongola,Central Region
Nabisweera,Nakasongola,Central Region
Nakasongola Town Council,Nakasongola,Central Region
Nakitoma,Nakasongola,Central Region
Wabinyonyi,Nakasongola,Central Region
Byakabanda,Rakai,Central Region
Ddwaniro,Rakai,Central Region
Kacheera,Rakai,Central Region
Kagamba,Rakai,Central Region
Kibanda,Rakai,Central Region
Kifamba,Rakai,Central Region
Kiziba,Rakai,Central Region
Kooki,Rakai,Central Region
Kyalulangira,Rakai,Central Region
Lwamaggwa,Rakai,Central Region
Lwanda,Rakai,Central Region
Rakai Town Council,Rakai,Central Region
Lugusulu,Ssembabule,Central Region
Lwebitakuli,Ssembabule,Central Region
Lwemiyaga,Ssembabule,Central Region
Mateete,Ssembabule,Central Region
Mateete Town Council,Ssembabule,Central Region
Mawogola,Ssembabule,Central Region
Mijwala,Ssembabule,Central Region
Ntuusi,Ssembabule,Central Region
Sembabule Town Council,Ssembabule,Central Region
Bunamwaya Division,Wakiso,Central Region
Busiro,Wakiso,Central Region
Bussi,Wakiso,Central Region
Busukuma Division,Wakiso,Central Region
Bweyogerere Division,Wakiso,Central Region
Division A,Wakiso,Central Region
Division B,Wakiso,Central Region
Entebbe Municipality,Wakiso,Central Region
Gombe Division,Wakiso,Central Region
Kajjansi Town Council,Wakiso,Central Region
Kakiri,Wakiso,Central Region
Kakiri Town Council,Wakiso,Central Region
Kasangati Town Council,Wakiso,Central Region
Kasanje,Wakiso,Central Region
Katabi Town Council,Wakiso,Central Region
Kira Division,Wakiso,Central Region
Kira Municipality,Wakiso,Central Region
Kyadondo,Wakiso,Central Region
Kyengera Town Council,Wakiso,Central Region
Makindye Ssabagabo Municipality,Wakiso,Central Region
Masajja Division,Wakiso,Central Region
Masuliita,Wakiso,Central Region
Masulita Town Council,Wakiso,Central Region
Mende,Wakiso,Central Region
Nabweru Division,Wakiso,Central Region
Namayumba,Wakiso,Central Region
Namayumba Town Council,Wakiso,Central Region
Namugongo Division,Wakiso,Central Region
Nansana Division,Wakiso,Central Region
Nansana Municipality,Wakiso,Central Region
Ndejje Division,Wakiso,Central Region
Wakiso,Wakiso,Central Region
Wakiso Town Council,Wakiso,Central Region
Abarilela,Amuria,Eastern Region
Akeriau,Amuria,Eastern Region
Amuria,Amuria,Eastern Region
Amuria Town Council,Amuria,Eastern Region
Apeduru,Amuria,Eastern Region
Asamuk,Amuria,Eastern Region
Kuju,Amuria,Eastern Region
Morungatuny,Amuria,Eastern Region
Ogolai,Amuria,Eastern Region
Orungo,Amuria,Eastern Region
Wera,Amuria,Eastern Region
Willa,Amuria,Eastern Region
Budaka,Budaka,Eastern Region
Budaka Town Council,Budaka,Eastern Region
Iki-Iki,Budaka,Eastern Region
Kachomo,Budaka,Eastern Region
Kaderuna,Budaka,Eastern Region
Kakule,Budaka,Eastern Region
Kameruka,Budaka,Eastern Region
Kamonkoli,Budaka,Eastern Region
Katiira,Budaka,Eastern Region
Lyama,Budaka,Eastern Region
Mugiti,Budaka,Eastern Region
Naboa,Budaka,Eastern Region
Nansanga,Budaka,Eastern Region
Bubiita,Bududa,Eastern Region
Bududa,Bududa,Eastern Region
Bududa Town Council,Bududa,Eastern Region
Bukalasi,Bududa,Eastern Region
Bukibokolo,Bududa,Eastern Region
Bukigai,Bududa,Eastern Region
Bulucheke,Bududa,Eastern Region
Bumasheti,Bududa,Eastern Region
Bumayoka,Bududa,Eastern Region
Bushika,Bududa,Eastern Region
Bushiribo,Bududa,Eastern Region
Bushiyi,Bududa,Eastern Region
Buwali,Bududa,Eastern Region
Manjiya,Bududa,Eastern Region
Nabweya,Bududa,Eastern Region
Nakatsi,Bududa,Eastern Region
Nalwanza,Bududa,Eastern Region
Nangako Town Council,Bududa,Eastern Region
Budhaya,Bugiri,Eastern Region
Bugiri Municipality,Bugiri,Eastern Region
Bukooli,Bugiri,Eastern Region
Bulesa,Bugiri,Eastern Region
Bulidha,Bugiri,Eastern Region
Buluguyi,Bugiri,Eastern Region
Buwunga,Bugiri,Eastern Region
Eastern Division,Bugiri,Eastern Region
Iwemba,Bugiri,Eastern Region
Kapyanga,Bugiri,Eastern Region
Muterere,Bugiri,Eastern Region
Nabukalu,Bugiri,Eastern Region
Nankoma,Bugiri,Eastern Region
Western Division,Bugiri,Eastern Region
Bugweri,Bugweri,Eastern Region
Bugweri Town Council,Bugweri,Eastern Region
Busembatia Town Council,Bugweri,Eastern Region
Buyanga,Bugweri,Eastern Region
Ibulanku,Bugweri,Eastern Region
Igombe,Bugweri,Eastern Region
Makuutu,Bugweri,Eastern Region
Namalemba,Bugweri,Eastern Region
Bukedea,Bukedea,Eastern Region
Bukedea Town Council,Bukedea,Eastern Region
Kachumbala,Bukedea,Eastern Region
Kidongole,Bukedea,Eastern Region
Kolir,Bukedea,Eastern Region
Malera,Bukedea,Eastern Region
Bukwo,Bukwo,Eastern Region
Bukwo Town Council,Bukwo,Eastern Region
Chepkwasta,Bukwo,Eastern Region
Chesower,Bukwo,Eastern Region
Kabei,Bukwo,Eastern Region
Kamet,Bukwo,Eastern Region
Kaptererwo,Bukwo,Eastern Region
Kongasis,Bukwo,Eastern Region
Kortek,Bukwo,Eastern Region
Riwo,Bukwo,Eastern Region
Senendet,Bukwo,Eastern Region
Suam,Bukwo,Eastern Region
Tulel,Bukwo,Eastern Region
Buginyanya,Bulambuli,Eastern Region
Bukhalu,Bulambuli,Eastern Region
Bulaago,Bulambuli,Eastern Region
Bulambuli,Bulambuli,Eastern Region
Bulambuli Town Council,Bulambuli,Eastern Region
Bulegeni,Bulambuli,Eastern Region
Bulegeni Town Council,Bulambuli,Eastern Region
Buluganya,Bulambuli,Eastern Region
Bumasobo,Bulambuli,Eastern Region
Bumugibole,Bulambuli,Eastern Region
Bunambutye,Bulambuli,Eastern Region
Buyaga Town Council,Bulambuli,Eastern Region
Bwikhonge,Bulambuli,Eastern Region
Kamu,Bulambuli,Eastern Region
Lusha,Bulambuli,Eastern Region
Masiira,Bulambuli,Eastern Region
Muyembe,Bulambuli,Eastern Region
Nabbongo,Bulambuli,Eastern Region
Namisuni,Bulambuli,Eastern Region
Simu,Bulambuli,Eastern Region
Sisiyi,Bulambuli,Eastern Region
Buhehe,Busia,Eastern Region
Bulumbi,Busia,Eastern Region
Busia Municipality,Busia,Eastern Region
Busime,Busia,Eastern Region
Busitema,Busia,Eastern Region
Buteba,Busia,Eastern Region
Buyanga,Busia,Eastern Region
Dabani,Busia,Eastern Region
Eastern Division,Busia,Eastern Region
Lumino,Busia,Eastern Region
Lunyo,Busia,Eastern Region
Majanji,Busia,Eastern Region
Masaba,Busia,Eastern Region
Masafu,Busia,Eastern Region
Masinya,Busia,Eastern Region
Samia-Bugwe,Busia,Eastern Region
Sikuda,Busia,Eastern Region
Western Division,Busia,Eastern Region
Budumba,Butaleja,Eastern Region
Bunyole,Butaleja,Eastern Region
Busaba,Butaleja,Eastern Region
Busabi,Butaleja,Eastern Region
Busolwe,Butaleja,Eastern Region
Busolwe Town Council,Butaleja,Eastern Region
Butaleja,Butaleja,Eastern Region
Butaleja Town Council,Butaleja,Eastern Region
Himutu,Butaleja,Eastern Region
Kachonga,Butaleja,Eastern Region
Mazimasa,Butaleja,Eastern Region
Nawanjofu,Butaleja,Eastern Region
Naweyo,Butaleja,Eastern Region
Butebo,Butebo,Eastern Region
Butebo Town Council,Butebo,Eastern Region
Kabwangasi,Butebo,Eastern Region
Kakoro,Butebo,Eastern Region
Kanginima,Butebo,Eastern Region
Petete,Butebo,Eastern Region
Budiope,Buyende,Eastern Region
Bugaya,Buyende,Eastern Region
Buyende,Buyende,Eastern Region
Buyende Town Council,Buyende,Eastern Region
Kagulu,Buyende,Eastern Region
Kidera,Buyende,Eastern Region
Nkondo,Buyende,Eastern Region
Bulamogi,Iganga,Eastern Region
Central Division,Iganga,Eastern Region
Iganga Municipality,Iganga,Eastern Region
Kigulu,Iganga,Eastern Region
Nabitende,Iganga,Eastern Region
Nakalama,Iganga,Eastern Region
Nakigo,Iganga,Eastern Region
Nambale,Iganga,Eastern Region
Namungalwe,Iganga,Eastern Region
Nawandala,Iganga,Eastern Region
Nawanyingi,Iganga,Eastern Region
Northern Division,Iganga,Eastern Region
Budondo,Jinja,Eastern Region
Bugembe Town Council,Jinja,Eastern Region
Busedde,Jinja,Eastern Region
Butagaya,Jinja,Eastern Region
Butembe,Jinja,Eastern Region
Buwenge,Jinja,Eastern Region
Buwenge Town Council,Jinja,Eastern Region
Buyengo,Jinja,Eastern Region
Central Division,Jinja,Eastern Region
Jinja Municipality,Jinja,Eastern Region
Kagoma,Jinja,Eastern Region
Kakira Town Council,Jinja,Eastern Region
Mafubira,Jinja,Eastern Region
Masese Walukuba,Jinja,Eastern Region
Mpumudde Division,Jinja,Eastern Region
Alwa,Kaberamaido,Eastern Region
Aperkira,Kaberamaido,Eastern Region
Kaberamaido,Kaberamaido,Eastern Region
Kaberamaido Town Council,Kaberamaido,Eastern Region
Kobulubulu,Kaberamaido,Eastern Region
Ochero,Kaberamaido,Eastern Region
Anyara,Kalaki,Eastern Region
Apapai,Kalaki,Eastern Region
Bululu,Kalaki,Eastern Region
Kakure,Kalaki,Eastern Region
Kalaki,Kalaki,Eastern Region
Kalaki Town Council,Kalaki,Eastern Region
Otuboi,Kalaki,Eastern Region
Budomero,Kaliro,Eastern Region
Bukamba,Kaliro,Eastern Region
Bulamogi,Kaliro,Eastern Region
Bumanya,Kaliro,Eastern Region
Buyinda,Kaliro,Eastern Region
Gadumire,Kaliro,Eastern Region
Kaliro Town Council,Kaliro,Eastern Region
Kasokwe,Kaliro,Eastern Region
Kisinda,Kaliro,Eastern Region
Namugongo,Kaliro,Eastern Region
Namwiwa,Kaliro,Eastern Region
Nansololo,Kaliro,Eastern Region
Nawaikoke,Kaliro,Eastern Region
Balawoli,Kamuli,Eastern Region
Bugabula,Kamuli,Eastern Region
Bugulumbya,Kamuli,Eastern Region
Bulopa,Kamuli,Eastern Region
Butansi,Kamuli,Eastern Region
Buzaaya,Kamuli,Eastern Region
Kagumba,Kamuli,Eastern Region
Kamuli Municipality,Kamuli,Eastern Region
Kisozi,Kamuli,Eastern Region
Kitayunjwa,Kamuli,Eastern Region
Magogo,Kamuli,Eastern Region
Mbulamuti,Kamuli,Eastern Region
Nabwigulu,Kamuli,Eastern Region
Namasagali,Kamuli,Eastern Region
Namwendwa,Kamuli,Eastern Region
Nawanyago,Kamuli,Eastern Region
Northern Division,Kamuli,Eastern Region
Southern Division,Kamuli,Eastern Region
Wankole,Kamuli,Eastern Region
Amukol,Kapchorwa,Eastern Region
Central Division,Kapchorwa,Eastern Region
Chema,Kapchorwa,Eastern Region
Chepterech,Kapchorwa,Eastern Region
Eastern Division,Kapchorwa,Eastern Region
Gamogo,Kapchorwa,Eastern Region
Kabeywa,Kapchorwa,Eastern Region
Kapchorwa Municipality,Kapchorwa,Eastern Region
Kapsinda,Kapchorwa,Eastern Region
Kaptanya,Kapchorwa,Eastern Region
Kaserem,Kapchorwa,Eastern Region
Kawowo,Kapchorwa,Eastern Region
Munarya,Kapchorwa,Eastern Region
Sipi,Kapchorwa,Eastern Region
Tingey,Kapchorwa,Eastern Region
Western Division,Kapchorwa,Eastern Region
Acowa,Kapelebyong,Eastern Region
Akoromit,Kapelebyong,Eastern Region
Kapelebyong,Kapelebyong,Eastern Region
Kapelebyong Town Council,Kapelebyong,Eastern Region
Obalanga,Kapelebyong,Eastern Region
Okungur,Kapelebyong,Eastern Region
Kapujan,Katakwi,Eastern Region
Katakwi,Katakwi,Eastern Region
Katakwi Town Council,Katakwi,Eastern Region
Magoro,Katakwi,Eastern Region
Ngariam,Katakwi,Eastern Region
Omodoi,Katakwi,Eastern Region
Ongongoja,Katakwi,Eastern Region
Palam,Katakwi,Eastern Region
Toroma,Katakwi,Eastern Region
Usuk,Katakwi,Eastern Region
Bulangira,Kibuku,Eastern Region
Buseta,Kibuku,Eastern Region
